x, y, z
0, 0, 0
0.00180031, 0.000860615, 0.00166115
0.00319008, 0.00209105, 0.00171558
0.00478078, 0.00139828, 0.00232585
0.00559712, 0.00338033, 0.000910496
0.0106948, 0.00114474, -0.00315392
0.00475181, 0.00289903, -0.00551774
0.00255438, 0.00488825, -0.00763166
0.00218565, 0.00659774, -0.00633242
0.00702388, 0.0065827, -0.00143838
0.0103175, 0.00712001, -0.000351602
0.00999682, 0.00726841, 4.37572e-05
0.00850143, 0.00633101, -0.00160975
0.0040148, 0.00718769, -0.00396029
-0.00171783, 0.00869116, -0.00724906
-0.00847214, 0.00930976, -0.0104604
-0.0131664, 0.00948085, -0.00833239
-0.0160052, 0.00487812, -0.00112145
-0.0155939, 0.000809558, 0.00635921
-0.0171483, 7.38522e-05, 0.0101948
-0.0179302, -0.000658976, 0.0158571
-0.0175497, -0.0029398, 0.021097
-0.0138516, -0.00420657, 0.0247936
-0.0124616, -0.00468658, 0.0366643
-0.0107383, -0.00446338, 0.0451179
-0.0102185, -0.00443908, 0.0510587
-0.00364908, -0.00666212, 0.0668889
0.00363929, -0.00571089, 0.0713856
0.0100362, -0.00318173, 0.0787941
0.0167397, -0.00558872, 0.109906
0.0162541, -0.00991526, 0.132428
0.0144976, -0.00826833, 0.14761
0.0244824, -0.00872774, 0.192548
0.040211, -0.00592875, 0.21728
0.053275, -0.00835588, 0.232605
0.0684174, -0.0123162, 0.260224
0.0777255, -0.0137169, 0.298314
0.0987878, -0.0104141, 0.339141
0.113617, -0.00906939, 0.355303
0.129021, -0.00772493, 0.384542
0.138803, -0.0114886, 0.417461
0.13372, -0.0133052, 0.448805
0.131221, -0.0094738, 0.497445
0.151222, -0.0105185, 0.536884
0.169699, -0.00533204, 0.56537
0.195897, -0.00451019, 0.602766
0.200623, -0.0106204, 0.632103
0.204497, -0.0112218, 0.696437
0.207878, -0.00725805, 0.755836
0.222396, -0.00380675, 0.79336
0.24309, -0.00314603, 0.822237
0.253232, -0.00319468, 0.840556
0.27695, -0.0123512, 0.918365
0.321566, -0.0150467, 0.993215
0.336703, -0.0170804, 1.02339
0.374311, -0.0197101, 1.07869
0.402752, -0.0155896, 1.10857
0.413183, -0.011825, 1.12125
0.450037, -0.014682, 1.18402
0.488267, -0.0167599, 1.26749
0.516534, -0.0137784, 1.31549
0.535372, -0.0102136, 1.33677
0.560436, -0.00387498, 1.35501
0.583587, -0.000896209, 1.38186
0.61234, 0.000108242, 1.43354
0.656506, 0.00146748, 1.52001
0.677474, 0.00760547, 1.55894
0.70669, 0.0153314, 1.57891
0.716275, 0.0165617, 1.57433
0.768919, 0.0253448, 1.65262
0.822308, 0.0374473, 1.74067
0.873309, 0.0441754, 1.78934
0.913434, 0.0469063, 1.79688
0.960528, 0.0520244, 1.79777
0.989077, 0.0570908, 1.81097
1.01821, 0.0601237, 1.83139
1.07052, 0.0650718, 1.89517
1.127, 0.0756685, 1.94803
1.19029, 0.0801515, 1.9702
1.22707, 0.0878852, 1.98713
1.24291, 0.087798, 1.98517
1.2885, 0.0953485, 2.00772
1.32396, 0.0985206, 2.03484
1.39457, 0.113059, 2.08531
1.45784, 0.12149, 2.10921
1.50205, 0.128654, 2.10655
1.53626, 0.129569, 2.11015
1.56798, 0.132995, 2.1212
1.62837, 0.136913, 2.14298
1.68194, 0.141161, 2.1442
1.72438, 0.147583, 2.14003
1.75082, 0.153252, 2.13667
1.79604, 0.158339, 2.14173
1.86928, 0.160937, 2.13041
1.93431, 0.168255, 2.12521
1.98629, 0.178617, 2.11892
2.02286, 0.18337, 2.11267
2.08525, 0.185058, 2.1019
2.18922, 0.191858, 2.08559
2.29201, 0.198491, 2.04976
2.38725, 0.248762, 2.27115
2.46608, 0.255932, 2.24328
2.51118, 0.2658, 2.21884
2.56211, 0.270817, 2.19874
2.63071, 0.272776, 2.17695
2.77912, 0.283366, 2.08444
2.85167, 0.290649, 2.05638
3.73219, 0.0972216, 2.33321
3.911, 0.109321, 2.24604
4.00839, 0.112515, 2.19121
4.18359, 0.0451272, 1.88053
3.88409, -0.0907414, 1.87436
3.9494, -0.0980076, 1.81607
4.05002, -0.0938277, 1.77988
4.1133, -0.0918728, 1.73048
4.13624, -0.097251, 1.69331
4.14881, -0.0992467, 1.67765
4.17155, -0.102972, 1.65213
4.19708, -0.106398, 1.62216
4.23977, -0.104232, 1.57041
4.2593, -0.104419, 1.53037
