deltaX,deltaY,deltaZ,delta_alpha,delta_beta,delta_gamma
0.027393652126193047,-6.609095493104178e-08,-0.13696862757205963,0.0,-7.0255758675974445e-15,0.0
-0.027393652126193047,6.609095493104178e-08,0.13696862757205963,0.0,-7.0255758675974445e-15,0.0
-0.08218950033187866,1.982930797339577e-07,0.41094785928726196,0.0,-7.0255758675974445e-15,0.0
-0.13196919858455658,3.1839471148487064e-07,0.659849226474762,0.0,-7.0255758675974445e-15,0.0
-0.16788239777088165,4.0503968534721935e-07,0.8394147157669067,0.0,-7.0255758675974445e-15,0.0
-0.18112726509571075,4.369949806459772e-07,0.9056397676467896,0.0,-7.0255758675974445e-15,0.0
-0.16788238286972046,4.0503968534721935e-07,0.8394147157669067,0.0,-7.0255758675974445e-15,0.0
-0.13196927309036255,3.183946546414518e-07,0.659849226474762,0.0,-7.0255758675974445e-15,0.0
-0.0821894183754921,1.9829310815566714e-07,0.41094785928726196,0.0,-7.0255758675974445e-15,0.0
-0.027393730357289314,6.609092650933235e-08,0.13696862757205963,0.0,-7.0255758675974445e-15,0.0
0.006921511143445969,-1.3854267955082378e-08,-0.02945709601044655,-5.463643315550826e-09,0.015423059463500977,-1.0399602956567833e-08
0.02443060092628002,-4.0451727301160645e-08,-0.08867644518613815,-1.7016208886388995e-08,0.04662394896149635,-3.171247442423919e-08
